rank,breed_id,breed_name,type,loading
1,179,Poodle,Dog,0.803287
2,141,Labrador Retriever,Dog,0.099546
3,195,Schnauzer,Dog,0.074931
4,285,Persian,Cat,0.041176
5,292,Siamese,Cat,0.034134
6,307,Mixed Breed,Dog,0.033856
7,299,Tabby,Cat,0.032225
8,264,Domestic Long Hair,Cat,0.030341
9,266,Domestic Short Hair,Cat,0.028646
10,265,Domestic Medium Hair,Cat,0.026846
11,147,Maltese,Dog,0.009039
12,130,Japanese Chin,Dog,0.004188
13,231,West Highland White Terrier Westie,Dog,0.003904
14,169,Pekingese,Dog,0.003666
15,60,Chihuahua,Dog,0.002768
16,207,Silky Terrier,Dog,0.000679
17,192,Samoyed,Dog,0.000459
18,199,Setter,Dog,0.000398
19,115,Harrier,Dog,0.000374
20,239,Yellow Labrador Retriever,Dog,0.000302
21,227,Weimaraner,Dog,0.000285
22,187,Retriever,Dog,0.000263
23,32,Black Mouth Cur,Dog,6.6e-05
24,224,Toy Fox Terrier,Dog,6.6e-05
25,291,Selkirk Rex,Cat,6.1e-05
26,14,Australian Cattle Dog/Blue Heeler,Dog,4.4e-05
27,176,Pointer,Dog,4.4e-05
28,88,English Springer Spaniel,Dog,4.4e-05
29,197,Scottish Terrier Scottie,Dog,4.4e-05
30,71,Coonhound,Dog,4.4e-05
31,64,Chocolate Labrador Retriever,Dog,2.2e-05
32,210,Smooth Fox Terrier,Dog,2.2e-05
33,104,German Shorthaired Pointer,Dog,2.2e-05
34,36,Bluetick Coonhound,Dog,2.2e-05
35,123,Irish Terrier,Dog,2.2e-05
36,40,Border Terrier,Dog,2.2e-05
37,93,Field Spaniel,Dog,2.2e-05
38,85,English Pointer,Dog,2.2e-05
39,81,Dutch Shepherd,Dog,2.2e-05
40,286,Pixie-Bob,Cat,1.3e-05
41,302,Torbie,Cat,1.1e-05
42,6,Alaskan Malamute,Dog,0.0
43,12,Anatolian Shepherd,Dog,0.0
44,22,Beauceron,Dog,0.0
45,8,American Eskimo Dog,Dog,0.0
46,13,Appenzell Mountain Dog,Dog,0.0
47,27,Belgian Shepherd Tervuren,Dog,0.0
48,33,Black Russian Terrier,Dog,0.0
49,34,Bloodhound,Dog,0.0
50,47,Brittany Spaniel,Dog,0.0
51,51,Cairn Terrier,Dog,0.0
52,52,Canaan Dog,Dog,0.0
53,53,Cane Corso Mastiff,Dog,0.0
54,66,Cirneco dell'Etna,Dog,0.0
55,67,Clumber Spaniel,Dog,0.0
56,68,Cockapoo,Dog,0.0
57,74,Curly-Coated Retriever,Dog,0.0
58,131,Jindo,Dog,0.0
59,110,Gordon Setter,Dog,0.0
60,133,Karelian Bear Dog,Dog,0.0
61,112,Great Pyrenees,Dog,0.0
62,113,Greater Swiss Mountain Dog,Dog,0.0
63,193,Sarplaninac,Dog,0.0
64,126,Italian Greyhound,Dog,0.0
65,196,Scottish Deerhound,Dog,0.0
66,118,Hovawart,Dog,0.0
67,198,Sealyham Terrier,Dog,0.0
68,120,Ibizan Hound,Dog,0.0
69,121,Illyrian Sheepdog,Dog,0.0
70,194,Schipperke,Dog,0.0
71,134,Keeshond,Dog,0.0
72,127,Italian Spinone,Dog,0.0
73,124,Irish Water Spaniel,Dog,0.0
74,116,Havanese,Dog,0.0
75,170,Peruvian Inca Orchid,Dog,0.0
76,135,Kerry Blue Terrier,Dog,0.0
77,136,Kishu,Dog,0.0
78,166,Otterhound,Dog,0.0
79,177,Polish Lowland Sheepdog,Dog,0.0
80,164,Nova Scotia Duck-Tolling Retriever,Dog,0.0
81,163,Norwich Terrier,Dog,0.0
82,162,Norwegian Lundehund,Dog,0.0
83,161,Norwegian Elkhound,Dog,0.0
84,160,Norwegian Buhund,Dog,0.0
85,158,Newfoundland Dog,Dog,0.0
86,157,New Guinea Singing Dog,Dog,0.0
87,156,Neapolitan Mastiff,Dog,0.0
88,180,Portuguese Water Dog,Dog,0.0
89,181,Presa Canario,Dog,0.0
90,153,Mountain Cur,Dog,0.0
91,183,Puli,Dog,0.0
92,151,McNab,Dog,0.0
93,184,Pumi,Dog,0.0
94,149,Maremma Sheepdog,Dog,0.0
95,107,Giant Schnauzer,Dog,0.0
96,186,Redbone Coonhound,Dog,0.0
97,144,Leonberger,Dog,0.0
98,191,Saluki,Dog,0.0
99,171,Petit Basset Griffon Vendeen,Dog,0.0
