rank,breed_id,breed_name,type,loading
1,264,Domestic Long Hair,Cat,0.792948
2,299,Tabby,Cat,0.336794
3,285,Persian,Cat,0.216978
4,307,Mixed Breed,Dog,0.114634
5,266,Domestic Short Hair,Cat,0.09516
6,265,Domestic Medium Hair,Cat,0.074927
7,276,Maine Coon,Cat,0.005141
8,274,Korat,Cat,0.002515
9,263,Dilute Tortoiseshell,Cat,0.001877
10,278,Munchkin,Cat,0.001707
11,248,Birman,Cat,0.001527
12,289,Russian Blue,Cat,0.00151
13,288,Ragdoll,Cat,0.000857
14,253,Burmilla,Cat,0.000776
15,280,Norwegian Forest Cat,Cat,0.000771
16,301,Tonkinese,Cat,0.000648
17,286,Pixie-Bob,Cat,0.000626
18,239,Yellow Labrador Retriever,Dog,0.000496
19,249,Bobtail,Cat,0.000322
20,291,Selkirk Rex,Cat,0.000308
21,282,Oriental Long Hair,Cat,0.000245
22,304,Turkish Angora,Cat,0.000147
23,32,Black Mouth Cur,Dog,0.000111
24,224,Toy Fox Terrier,Dog,0.000111
25,176,Pointer,Dog,7.4e-05
26,197,Scottish Terrier Scottie,Dog,7.4e-05
27,71,Coonhound,Dog,7.4e-05
28,88,English Springer Spaniel,Dog,7.4e-05
29,14,Australian Cattle Dog/Blue Heeler,Dog,7.4e-05
30,93,Field Spaniel,Dog,3.7e-05
31,85,English Pointer,Dog,3.7e-05
32,104,German Shorthaired Pointer,Dog,3.7e-05
33,81,Dutch Shepherd,Dog,3.7e-05
34,210,Smooth Fox Terrier,Dog,3.7e-05
35,64,Chocolate Labrador Retriever,Dog,3.7e-05
36,36,Bluetick Coonhound,Dog,3.7e-05
37,123,Irish Terrier,Dog,3.7e-05
38,40,Border Terrier,Dog,3.7e-05
39,28,Bernese Mountain Dog,Dog,0.0
40,30,Black and Tan Coonhound,Dog,0.0
41,37,Boerboel,Dog,0.0
42,211,South Russian Ovtcharka,Dog,0.0
43,121,Illyrian Sheepdog,Dog,0.0
44,161,Norwegian Elkhound,Dog,0.0
45,124,Irish Water Spaniel,Dog,0.0
46,126,Italian Greyhound,Dog,0.0
47,209,Sloughi,Dog,0.0
48,171,Petit Basset Griffon Vendeen,Dog,0.0
49,170,Peruvian Inca Orchid,Dog,0.0
50,127,Italian Spinone,Dog,0.0
51,216,Sussex Spaniel,Dog,0.0
52,120,Ibizan Hound,Dog,0.0
53,118,Hovawart,Dog,0.0
54,116,Havanese,Dog,0.0
55,208,Skye Terrier,Dog,0.0
56,113,Greater Swiss Mountain Dog,Dog,0.0
57,112,Great Pyrenees,Dog,0.0
58,219,Thai Ridgeback,Dog,0.0
59,110,Gordon Setter,Dog,0.0
60,220,Tibetan Mastiff,Dog,0.0
61,107,Giant Schnauzer,Dog,0.0
62,106,German Wirehaired Pointer,Dog,0.0
63,221,Tibetan Spaniel,Dog,0.0
64,222,Tibetan Terrier,Dog,0.0
65,223,Tosa Inu,Dog,0.0
66,175,Podengo Portugueso,Dog,0.0
67,134,Keeshond,Dog,0.0
68,131,Jindo,Dog,0.0
69,149,Maremma Sheepdog,Dog,0.0
70,160,Norwegian Buhund,Dog,0.0
71,180,Portuguese Water Dog,Dog,0.0
72,158,Newfoundland Dog,Dog,0.0
73,163,Norwich Terrier,Dog,0.0
74,157,New Guinea Singing Dog,Dog,0.0
75,156,Neapolitan Mastiff,Dog,0.0
76,181,Presa Canario,Dog,0.0
77,183,Puli,Dog,0.0
78,164,Nova Scotia Duck-Tolling Retriever,Dog,0.0
79,153,Mountain Cur,Dog,0.0
80,184,Pumi,Dog,0.0
81,177,Polish Lowland Sheepdog,Dog,0.0
82,151,McNab,Dog,0.0
83,186,Redbone Coonhound,Dog,0.0
84,191,Saluki,Dog,0.0
85,133,Karelian Bear Dog,Dog,0.0
86,166,Otterhound,Dog,0.0
87,101,Galgo Spanish Greyhound,Dog,0.0
88,194,Schipperke,Dog,0.0
89,144,Leonberger,Dog,0.0
